"season_year","home_team","away_team","winning"
2012,"NYJ","NE",-1
2012,"DAL","WAS",-1
2012,"DET","HOU",-1
2012,"ATL","NYG",1
2012,"CHI","GB",-1
2012,"STL","MIN",-1
2012,"NO","TB",1
2012,"MIA","JAC",1
2012,"CLE","WAS",-1
2012,"HOU","IND",1
2012,"BAL","DEN",-1
2012,"SD","CAR",-1
2012,"ARI","DET",1
2012,"STL","SEA",1
2012,"ATL","CAR",1
2012,"ARI","MIA",1
2012,"NYJ","SF",-1
2012,"HOU","TEN",1
2012,"BUF","NE",-1
2012,"DET","MIN",-1
2012,"KC","SD",-1
2012,"JAC","CIN",-1
2012,"DEN","OAK",1
2012,"MIN","TB",-1
2012,"SF","CHI",1
2012,"ATL","NO",1
2012,"ATL","DEN",1
