"season_year","home_team","away_team","winning"
2012,"DET","CHI",-1
2012,"TEN","JAC",1
2012,"IND","HOU",1
2012,"WAS","DAL",1
2012,"NYG","PHI",1
2012,"NE","MIA",1
2012,"BUF","NYJ",1
2012,"PIT","CLE",1
2009,"ATL","BUF",1
2009,"GB","SEA",1
2009,"CLE","OAK",1
2011,"NO","NYG",1
2010,"SF","TB",-1
2010,"STL","ATL",-1
2010,"PHI","NYG",1
2010,"NE","IND",1
2011,"SD","BUF",1
2011,"DAL","NYG",-1
2011,"ARI","SF",1
2011,"DEN","CHI",1
2012,"SD","BAL",-1
2012,"NO","SF",-1
2011,"NE","KC",1
2012,"KC","DEN",-1
2012,"CHI","MIN",1
2012,"TB","ATL",-1
2012,"MIA","SEA",1
2012,"CIN","OAK",1
2012,"CLE","PIT",1
2012,"IND","BUF",1
2012,"JAC","TEN",1
2009,"MIA","NYJ",1
2009,"MIA","IND",-1
2011,"PHI","NYJ",1
2011,"CHI","SEA",-1
2011,"MIN","NO",-1
2011,"KC","GB",1
2011,"STL","CIN",-1
2011,"BUF","MIA",-1
2011,"IND","TEN",1
2011,"NYG","WAS",-1
2011,"DET","CHI",1
2010,"ARI","SF",-1
2012,"NO","KC",-1
2012,"WAS","CIN",-1
2012,"CLE","BUF",-1
2012,"MIA","NYJ",-1
2012,"CHI","STL",1
2012,"DAL","TB",1
2012,"TEN","DET",1
2012,"MIN","SF",1
2012,"ARI","PHI",1
2012,"IND","JAC",-1
2011,"OAK","DET",-1
2009,"CLE","BAL",-1
2010,"DEN","KC",1
2009,"PIT","CLE",1
2009,"NO","NYG",1
2009,"WAS","KC",-1
2009,"TB","CAR",-1
2011,"NYJ","DAL",1
2011,"SF","SEA",1
2011,"SD","MIN",1
2009,"GB","DET",1
2011,"JAC","SD",-1
2009,"CIN","HOU",-1
2012,"CIN","MIA",-1
2009,"MIN","BAL",1
2009,"JAC","STL",1
2012,"MIN","TEN",1
2010,"DAL","NYG",-1
2010,"CHI","GB",1
2011,"TEN","NO",-1
2011,"JAC","TB",1
2011,"DET","MIN",1
2011,"BAL","IND",1
2011,"MIA","PHI",-1
2011,"CAR","ATL",-1
2011,"GB","OAK",1
2011,"WAS","NE",-1
2011,"CIN","HOU",-1
2011,"NYJ","KC",1
2012,"NYG","GB",1
2012,"ARI","STL",-1
2010,"SEA","NYG",-1
2010,"PHI","IND",1
2010,"CLE","NE",1
2010,"HOU","SD",-1
2010,"DET","NYJ",-1
2010,"BAL","MIA",1
2010,"ATL","TB",1
2010,"CAR","NO",-1
2010,"BUF","CHI",-1
2010,"MIN","ARI",1
2012,"BUF","MIA",1
