"player_id","team_2009","team_2010","team_2011","team_2012"
27779,"","JAC","JAC","IND"
21382,"TB","TB","",""
24274,"TB","TB","TB",""
27705,"","TEN","TEN","TEN"
25457,"DEN","DEN","","HOU"
28015,"","","TEN","TEN"
29610,"","","","JAC"
30557,"","","",""
27157,"DET","DEN","NE",""
22084,"ARI","BAL","BAL","BAL"
23438,"NYJ","NYJ","SF","SEA"
26172,"MIA","MIA","MIA","GB"
22840,"SEA","SEA","",""
27810,"","OAK","",""
28986,"","","",""
26212,"BUF","BUF","",""
25615,"GB","NO","",""
16334,"JAC","","",""
21304,"TB","TB","NO",""
26251,"","DAL","JAC",""
26934,"GB","GB","",""
24172,"MIA","MIA","",""
27977,"","","TEN","TEN"
30471,"","","",""
26016,"NYJ","","NYJ","KC"
25474,"","PHI","ARI","ARI"
27141,"KC","","",""
18227,"GB","GB","GB","GB"
28126,"","","IND",""
29620,"","","","JAC"
23635,"","DET","OAK",""
24489,"TEN","TEN","TEN",""
27723,"","TB","SEA","PIT"
21197,"MIN","MIN","STL",""
24013,"PHI","MIN","",""
22998,"PIT","","",""
25547,"","","","CAR"
25434,"NYJ","NYJ","NYJ","NYJ"
28105,"","","CIN","CIN"
22120,"NYJ","NYJ","NYJ","NYJ"
24397,"GB","","",""
27915,"","NYJ","NYJ","NYJ"
30391,"","","",""
28241,"","","","SF"
28127,"","","",""
26700,"","","MIN",""
25592,"","CIN","",""
22054,"MIN","MIN","MIN","NE"
25568,"","ARI","ARI","ARI"
25900,"","","DEN",""
26275,"GB","GB","GB","GB"
30450,"","","",""
30411,"","","",""
30579,"","","",""
22767,"HOU","","","KC"
26944,"CAR","CAR","CAR","CAR"
20958,"OAK","","",""
27471,"","IND","",""
29140,"","","","PIT"
29039,"","","","NYJ"
16624,"PHI","","",""
25594,"BAL","BAL","BAL",""
26758,"SD","SF","SF","SF"
28001,"","","PIT","PIT"
21314,"MIN","CHI","ARI",""
21943,"BAL","MIN","DAL",""
25508,"DEN","DEN","DEN",""
19435,"ARI","ARI","ARI","ARI"
24389,"SF","SF","SF","SF"
27562,"","DET","",""
29593,"","","","MIA"
27981,"","","MIN","MIN"
30387,"","","",""
23001,"WAS","PIT","PIT","PIT"
23490,"BUF","BUF","BUF","TB"
27790,"","","BUF",""
30546,"","","",""
26154,"CHI","CHI","CHI","STL"
19387,"STL","STL","STL",""
22529,"OAK","","",""
23436,"SF","SF","SF","SF"
30248,"","","",""
24307,"DAL","DAL","DAL","DAL"
21145,"WAS","","",""
23470,"PHI","","",""
27153,"","IND","",""
29735,"","","",""
26515,"DEN","NE","","DEN"
29649,"","","",""
30573,"","","",""
21081,"NYJ","NYJ","NYJ","NYJ"
25820,"MIA","MIA","MIA","MIA"
28158,"","","DAL","DET"
21974,"ARI","ARI","ARI","CAR"
29764,"","","",""
26348,"IND","","",""
24017,"NE","NE","",""
27074,"CLE","CLE","CLE","CLE"
27988,"","","SD","SD"
29210,"","","","DET"
24354,"SF","SF","SF",""
29562,"","","","TB"
28694,"","","CLE","CAR"
28695,"","","CLE",""
26359,"BUF","BUF","","PHI"
29640,"","","","STL"
28368,"","","NYG","NYG"
27030,"MIN","MIN","MIN","MIN"
26079,"CLE","PHI","",""
29756,"","","",""
22793,"HOU","HOU","HOU","HOU"
26910,"ARI","ARI","","ARI"
27093,"CAR","CAR","DAL",""
27795,"","CAR","",""
21645,"PHI","NE","NE","NE"
23213,"IND","IND","",""
24796,"STL","STL","STL","STL"
19467,"CAR","STL","SD",""
19986,"PHI","PHI","PHI","CLE"
27782,"","","","NYG"
23500,"SF","SF","SF","SF"
30555,"","","",""
27706,"","PHI","",""
28492,"","","NYG","NYG"
30465,"","","",""
27560,"","","BAL","BAL"
24313,"HOU","HOU","HOU","HOU"
28414,"","","IND",""
28413,"","","JAC",""
28620,"","","NYG","NYG"
20475,"JAC","","",""
29438,"","","","PHI"
27968,"","","NYJ","NYJ"
26678,"IND","","",""
21186,"PHI","CLE","CLE","CLE"
25463,"SF","JAC","JAC","NYJ"
26274,"TEN","HOU","",""
21259,"NO","CLE","CLE","CLE"
22725,"TB","NYG","NYG",""
27890,"","","HOU","HOU"
108,"PHI","PHI","SF","SF"
30215,"","","",""
21179,"WAS","WAS","",""
23612,"TEN","TEN","",""
30371,"","","",""
27056,"DET","DET","",""
30106,"","","",""
27665,"","BAL","BAL","BAL"
27784,"","","","IND"
28101,"","","","SF"
29527,"","","",""
23327,"STL","STL","STL","TB"
21182,"DET","DET","DET",""
21544,"SD","SD","SD",""
26522,"","DEN","",""
27886,"","ARI","ARI","ARI"
19041,"SD","SD","SD",""
22045,"DAL","DAL","DAL","CIN"
26259,"DEN","","",""
27681,"","CAR","CAR","CAR"
21341,"SF","","",""
26723,"TB","CIN","CIN","CIN"
10346,"IND","IND","","DEN"
23195,"ATL","","",""
27576,"","MIA","",""
22140,"SD","","",""
26745,"","SD","SD","SD"
30181,"","","",""
22810,"MIA","BUF","",""
24249,"CLE","","CLE","CLE"
27356,"","MIA","MIA","MIA"
28249,"","","","GB"
22127,"DAL","DAL","DAL","DAL"
